Time,storPfo,rlsFloodPfo,rlsCompPfo,rlsSpillPfo,qForksPfo,qHopPfo,qClovPfo,qHldsPfo
21-Dec-1991,65962.6723632875,0,169.34245699,0,170.86098769,170,193.496523931,235.941640263
22-Dec-1991,65720.0167944484,0,171.17175599,0,172.69028669,170,187.766523931,211.614933263
23-Dec-1991,65476.8715100332,0,171.36245549,0,172.88098619,170,186.906523931,207.498918263
24-Dec-1991,65233.6001433025,0,171.37304999,0,172.89158069,170,186.566523931,206.364337263
25-Dec-1991,64990.2377183888,0,171.38011279,0,172.89864349,170,186.396523931,205.897697263
26-Dec-1991,64746.8367547198,0,171.38011279,0,172.89864349,170,186.196523931,205.001993263
27-Dec-1991,64495.8102774281,0,175.157544827,0,176.676075527,173.795089737,189.671613668,208.349955
28-Dec-1991,64524.0252093646,0,161.29071249,0,174.89039049,170,169.686523931,167.762290263
29-Dec-1991,64865.6118790585,0,25,0,181.41925,176.52885951,309.865383441,306.383769773
30-Dec-1991,64954.747121484,0,25,0,176.80716,488.50924251,756.615766441,1331.885052773
31-Dec-1991,64897.5610761415,0,80.86931,0,170,260.27557751,455.172101441,775.462407773
01-Jan-1992,64805.0645424123,0,98.21587,0,170,239.914697363,388.831403088,542.67816946
02-Jan-1992,64684.7038476759,0,111.759052,0,170,225.531048363,349.077754088,477.70281046
03-Jan-1992,64542.2857920043,0,122.445267,0,170,214.498738363,317.645444088,428.21765046
04-Jan-1992,64386.243860461,0,130.68418,0,170,204.243358363,291.470064088,386.21071046
05-Jan-1992,64905.1925515177,0,25,0,252.51122,247.721280363,381.007986088,377.59857246
06-Jan-1992,65674.4422043614,0,25,0,535.0462,1135.592030363,1291.048736088,2214.39152246
07-Jan-1992,66045.6362402145,0,25,0,330.97687,1018.764070363,1521.830776088,2173.48006246
08-Jan-1992,66318.043037361,0,25,0,343.60187,752.735140363,1070.481846088,1824.62153246
09-Jan-1992,66463.9848342409,0,25,0,200.03716,446.076680363,662.603386088,1270.62862246
10-Jan-1992,66589.1246404787,0,27.48766,0,170,362.272953363,520.859659088,862.10014546
11-Jan-1992,66651.0463529145,0,52.864784,0,170,326.329686363,457.986392088,743.06609846
12-Jan-1992,66664.320301086,0,72.79991,0,170,298.180367363,408.567073088,650.96539946
13-Jan-1992,66635.6856878219,0,88.613815,0,170,276.546619363,373.653325088,578.51921146
14-Jan-1992,66575.243889877,0,100.899796,0,170,258.673856363,344.020562088,520.72299846
15-Jan-1992,66489.3135875068,0,110.64664,0,170,244.774010363,319.680716088,472.69406246
16-Jan-1992,66382.91031954,0,118.362892,0,170,233.769964363,300.156670088,433.84938646
17-Jan-1992,66273.783901988,0,124.140377,0,170,218.249160363,277.695866088,394.96724246
18-Jan-1992,66160.8699278188,0,127.399918,0,170,226.279712363,274.816418088,373.48758446
19-Jan-1992,66014.5040713746,0,133.046734,0,170,213.792443363,271.039149088,377.40184546
20-Jan-1992,65859.3989780981,0,136.14736,0,170,208.431687363,254.768393088,341.59501946
21-Jan-1992,65697.1295818696,0,138.690016,0,170,204.879027363,248.195733088,325.37086946
22-Jan-1992,65529.1934940005,0,140.64998,0,170,201.954974363,242.801680088,313.82146046
23-Jan-1992,65356.4172546663,0,142.348616,0,170,199.733677363,238.480383088,304.26652946
24-Jan-1992,65179.6764374316,0,143.68704,0,170,197.692495363,234.769201088,296.36701746
25-Jan-1992,65000.6451256231,0,144.315643,0,170,196.057421363,231.274127088,289.15684746
26-Jan-1992,64830.9583053152,0,145.579908,0,170,194.563612363,224.690318088,278.76611946
